trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-23.54277291292688,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-212.65505739944462,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-147.4284395539549,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-173.64292861415868,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-116.9805549807846,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-71.85754649604947,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-220.69936448706068,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,5,-46.00655388526477,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-31.28433145924303,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-147.70186221517915,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-91.7783359488997,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-148.1053756143338,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-93.50448260196903,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-207.41068306102787,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-194.33697477263615,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-72.42669189111966,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-182.53484141302877,"{0: 7, 1: 0, 2: 11, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-161.6018137245218,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-195.4275918617911,"{0: 15, 1: 0, 2: 13, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-132.3652048182989,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-139.564302102147,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,3,-81.8015554896745,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-284.2983429253822,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 5}",0
4,True,"{'a': 0, 'e': 0}",35,0,-157.20263204998787,"{0: 20, 1: 0, 2: 14, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-168.39498839075324,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-138.60394003517092,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-78.50332769168354,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-234.52784671054854,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-329.1499548199988,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",20,0,-176.9068105117363,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
