trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,14,-119.50431038310883,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.998}",20,9,-79.60636902052323,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.997}",25,0,-175.04842253856003,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-53.01515791697856,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-119.25854352368393,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-45.394471588564556,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",30,0,-197.2848450779093,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.992}",30,0,-100.51393716125985,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-54.66652024786774,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-194.27249899197636,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.989}",30,20,-7.668929238826271,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-66.68040658447696,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",30,0,-76.4051605776205,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-138.70879582143024,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-104.86504672269258,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-48.02134783034973,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-101.83807746142205,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-78.21571120743792,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",30,0,-133.08826760451595,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-145.29524543617887,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,8,-38.32180617700696,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.978}",25,0,-28.994032776892478,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
