trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.06307155327256,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,6,-36.10573568305681,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.30344097104971,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.22324931829388,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,6,-205.11427069426242,"{0: 10, 1: 6, 2: 3, 3: 2, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.09576271586171,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.731481012902506,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.06705527987934,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.37236474878318,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.47262823960722,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.67208270678912,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.484465593766,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.89021717362125,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-62.66579076363585,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.85324691287528,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.28541125091553,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.26064964723917,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.00587761805377,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.8770816366245,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-67.06635024404223,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.33418908625652,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.46042830817508,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.05299544128926,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.32878107991253,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-205.612292940654,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.95677248121486,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.43892820339921,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-219.1750984202561,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.73900575996507,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.4365263986957,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
