trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,1,-50.31737638790212,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-145.02356156679323,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-61.46289917759188,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-98.36680153749505,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,3,-171.85872751141366,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-155.21668608593856,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-40.356342419891824,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-71.00717551172625,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-74.12889005125858,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-23.840948989093064,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-231.39945714063623,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-72.82610927171146,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-122.14827759956194,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-42.39696224334809,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-40.001937780646884,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-19.93566639156063,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-26.964481964919912,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,8.845611397203564,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
