trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",25,0,-155.4481553766214,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-77.68190754540582,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",20,7,-36.40673130007333,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-176.9757864157028,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.03125}",20,5,-22.686430088110388,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.015625}",20,0,-50.16664472612158,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",25,1,-74.50299016833037,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.00390625}",25,6,26.061950967438666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.001953125}",25,0,-91.73763797326482,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,-30.2828805178659,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",25,0,-0.8521047943164664,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,-39.25447382198415,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",20,0,15.7478648224433,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,12,-38.010644856743454,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",25,0,-42.804756802380126,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,19.25639669966767,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",30,14,1.9866804661922928,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",30,0,-17.625725761364944,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",25,15,-39.169682341763696,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
